Date,Market Cap,Volume,Open,Close
11/10/2024,91086187582,2289560530,623.03,628.5
11/9/2024,87226205424,1097148720,598.05,623.03
11/8/2024,87331183563,1140184047,598.61,598.05
11/7/2024,86248682357,1832779153,591.17,598.61
11/6/2024,82160078279,782468124,563.18,591.17
11/5/2024,80509315395,876900503,552,563.18
11/4/2024,81477370372,807471288,557.97,552
11/3/2024,82889818185,613502646,568.18,557.97
11/2/2024,83572294996,893454862,572.92,568.18
11/1/2024,84000613909,1036949641,575.58,572.92
10/31/2024,86969500510,850312506,595.76,575.58
10/30/2024,88414948715,1073038598,605.99,595.76
10/29/2024,87554214286,644392069,600.3,605.99
10/28/2024,85827006527,441842653,588.35,600.3
10/27/2024,85017771621,522130327,582.7,588.35
10/26/2024,83449711140,881784219,573.5,582.7
10/25/2024,86710819325,644617282,594.33,573.5
10/24/2024,85255197630,784000933,584.52,594.33
10/23/2024,86532749174,793524643,593.25,584.52
10/22/2024,87325520926,729415389,598.84,593.25
10/21/2024,88195432727,403326086,604.74,598.84
10/20/2024,87250625180,366372732,598.06,604.74
10/19/2024,87513331879,620458607,599.79,598.06
10/18/2024,86333076752,727488240,592.07,599.79
10/17/2024,87633144280,941867678,600.72,592.07
10/16/2024,86636583192,1133724407,593.79,600.72
10/15/2024,85928412504,922914192,588.71,593.79
10/14/2024,83416290894,504380355,572.05,588.71
10/13/2024,84061595901,514250584,576.42,572.05
10/12/2024,83546567873,726487414,572.7,576.42
10/11/2024,82021809492,666418338,562.29,572.7
10/10/2024,83220162034,1120320879,570.42,562.29
10/9/2024,84738393992,812293173,580.58,570.42
10/8/2024,82362634346,822476320,564.55,580.58
10/7/2024,83265317975,460824876,570.39,564.55
10/6/2024,82114177424,398503138,563.06,570.39
10/5/2024,81042254268,642933307,555.73,563.06
10/4/2024,79356570336,717224492,543.93,555.73
10/3/2024,79089065108,962211853,542.14,543.93
10/2/2024,79897582813,1303622283,547.67,542.14
10/1/2024,82687696156,844868785,566.61,547.67
9/30/2024,87052731975,649177026,596.61,566.61
9/29/2024,87827034865,930036415,601.88,596.61
9/28/2024,88777861761,1210015213,608.53,601.88
9/27/2024,87077034857,1166805206,596.65,608.53
9/26/2024,85624136607,869908504,587.45,596.65
9/25/2024,88472367696,785716723,606.32,587.45
9/24/2024,88128290233,1300885129,604.29,606.32
9/23/2024,85792747967,610149904,588,604.29
9/22/2024,86060631710,596782454,589.13,588
9/21/2024,82865805727,749877888,568.14,589.13
9/20/2024,82508263053,1072294555,565.72,568.14
9/19/2024,81414364603,800863110,559.26,565.72
9/18/2024,79651662030,749799588,545.86,559.26
9/17/2024,77951289168,1185987916,534.03,545.86
9/16/2024,80738379012,739957733,553.53,534.03
9/15/2024,80729550771,549782252,553.46,553.53
9/14/2024,81324118498,957150654,557.3,553.46
9/13/2024,79366643988,940734076,543.99,557.3
9/12/2024,77464122683,948969873,530.73,543.99
9/11/2024,75460567584,745525443,517.37,530.73
9/10/2024,75762703430,841883931,519.04,517.37
9/9/2024,73534080477,624529866,502.47,519.04
9/8/2024,71876297113,590890072,493.17,502.47
9/7/2024,71044218471,1186849723,486.61,493.17
9/6/2024,73298353535,596939170,502.34,486.61
9/5/2024,74082271440,1261230279,508,502.34
9/4/2024,75821979842,811117819,518.98,508
9/3/2024,76831499619,965913619,526.13,518.98
9/2/2024,74829827537,694174839,512.86,526.13
9/1/2024,77715922914,376648541,532.71,512.86
8/31/2024,78116141812,856795244,535.45,532.71
8/30/2024,78358707308,720268699,536.8,535.45
8/29/2024,78331630414,1100999067,536.56,536.8
