Date,Market Cap,Volume,Open,Close
11/5/2024,23136432202.00,2934227323.00,0.15815,0.17016
11/4/2024,22296473359.00,2539631782.00,0.15197,0.15815
11/3/2024,23352486974.00,1497134114.00,0.15931,0.15197
11/2/2024,23336035424.00,2384334084.00,0.15929,0.15931
11/1/2024,23703025112.00,2433162762.00,0.16161,0.15929
10/31/2024,24707320750.00,2609541210.00,0.16841,0.16161
10/30/2024,25822005647.00,4328291560.00,0.17622,0.16841
10/29/2024,23603211884.00,3547034012.00,0.16108,0.17622
10/28/2024,21151514398.00,1185789527.00,0.14426,0.16108
10/27/2024,20129644552.00,1007254068.00,0.13744,0.14426
10/26/2024,19058280732.00,1555982997.00,0.13052,0.13744
10/25/2024,20800093125.00,1490511268.00,0.14212,0.13052
10/24/2024,20469081859.00,1492331849.00,0.13990,0.14212
10/23/2024,20427910912.00,1786553787.00,0.13951,0.13990
10/22/2024,21042404416.00,2135857423.00,0.14368,0.13951
10/21/2024,20743960128.00,1450399760.00,0.14180,0.14368
10/20/2024,21205835020.00,1943678427.00,0.14482,0.14180
10/19/2024,20117473887.00,2352278280.00,0.13738,0.14482
10/18/2024,18872749093.00,1610404036.00,0.12903,0.13738
10/17/2024,18366468454.00,2441500479.00,0.12569,0.12903
10/16/2024,17136054607.00,1448755420.00,0.11715,0.12569
10/15/2024,17054185513.00,1038482567.00,0.11655,0.11715
10/14/2024,16284359144.00,501221749.00,0.11134,0.11655
10/13/2024,16295803425.00,471712433.00,0.11139,0.11134
10/12/2024,16205592120.00,608660396.00,0.11076,0.11139
10/11/2024,15492666166.00,676009911.00,0.10595,0.11076
10/10/2024,15802883227.00,725437337.00,0.10794,0.10595
10/9/2024,15680331562.00,698426563.00,0.10712,0.10794
10/8/2024,15928664981.00,987438812.00,0.10889,0.10712
10/7/2024,16300599147.00,510711346.00,0.11143,0.10889
10/6/2024,16014067343.00,451209520.00,0.10956,0.11143
10/5/2024,15967882267.00,764018435.00,0.10929,0.10956
10/4/2024,15341812913.00,972749810.00,0.10503,0.10929
10/3/2024,15293474640.00,949525284.00,0.10466,0.10503
10/2/2024,15663199003.00,1476122208.00,0.10715,0.10466
10/1/2024,16668359316.00,1119199765.00,0.11409,0.10715
9/30/2024,18237685843.00,980842375.00,0.12476,0.11409
9/29/2024,18825075500.00,1706567907.00,0.12884,0.12476
9/28/2024,18086523908.00,1555101302.00,0.12382,0.12884
9/27/2024,17259884832.00,1535242940.00,0.11815,0.12382
9/26/2024,15828058104.00,782002415.00,0.10851,0.11815
9/25/2024,16033328088.00,790392653.00,0.10978,0.10851
9/24/2024,15802862649.00,682781466.00,0.10822,0.10978
9/23/2024,15511905606.00,535697266.00,0.10632,0.10822
9/22/2024,16119101952.00,559439682.00,0.11016,0.10632
9/21/2024,15386106673.00,657876274.00,0.10538,0.11016
9/20/2024,15339835713.00,715304617.00,0.10508,0.10538
9/19/2024,15093679440.00,601892210.00,0.10351,0.10508
9/18/2024,14765475792.00,497557517.00,0.10116,0.10351
9/17/2024,14569234359.00,572532232.00,0.09970,0.10116
9/16/2024,15026207563.00,451757528.00,0.10298,0.09970
9/15/2024,15392503256.00,459831449.00,0.10547,0.10298
9/14/2024,15605057186.00,779036290.00,0.10701,0.10547
9/13/2024,15008873337.00,485785356.00,0.10275,0.10701
9/12/2024,14791824300.00,588369371.00,0.10138,0.10275
9/11/2024,14981206322.00,531704988.00,0.10270,0.10138
9/10/2024,15166857757.00,802105396.00,0.10386,0.10270
9/9/2024,14001965233.00,421886602.00,0.09599,0.10386
9/8/2024,13886824075.00,461330599.00,0.09521,0.09599
9/7/2024,13466500039.00,862381535.00,0.09250,0.09521
9/6/2024,14348233959.00,497704735.00,0.09837,0.09250
9/5/2024,14290796453.00,604205804.00,0.09800,0.09837
9/4/2024,14114883004.00,429042909.00,0.09670,0.09800
9/3/2024,14447496907.00,503843468.00,0.09910,0.09670
9/2/2024,13923088580.00,438687182.00,0.09544,0.09910
9/1/2024,14766759790.00,351544414.00,0.10131,0.09544
8/31/2024,14878559891.00,642358602.00,0.10222,0.10131
8/30/2024,14625375254.00,476454210.00,0.10039,0.10222
8/29/2024,14510058959.00,692363430.00,0.09953,0.10039
8/28/2024,14413120860.00,632679461.00,0.09893,0.09953
8/27/2024,15329123606.00,604946342.00,0.10522,0.09893
8/26/2024,15978378379.00,645373125.00,0.10962,0.10522
8/25/2024,16391141273.00,782083842.00,0.11266,0.10962
8/24/2024,16475767151.00,1007674462.00,0.11285,0.11266
8/23/2024,15343397391.00,442093664.00,0.10535,0.11285
8/22/2024,15440111511.00,553101594.00,0.10608,0.10535
8/21/2024,15003208996.00,764304812.00,0.10307,0.10608
8/20/2024,14739719717.00,501293738.00,0.10160,0.10307
