Date,Market Cap,Volume,Open,Close
11/5/2024,1340192510480,46183110994,67793,69335
11/4/2024,1362302032218,37659435507,68804,67793
11/3/2024,1370516856366,14709379755,69299,68804
11/2/2024,1374687306837,54863092261,69508,69299
11/1/2024,1390195908293,45907074189,70265,69508
10/31/2024,1431085552900,43498144314,72343,70265
10/30/2024,1439310420089,65487782005,72781,72343
10/29/2024,1380874923096,41990540385,69845,72781
10/28/2024,1343350549900,16533385730,67939,69845
10/27/2024,1325192118637,21169467790,67018,67939
10/26/2024,1313975091942,48426924850,66586,67018
10/25/2024,1347888109011,35892606570,68214,66586
10/24/2024,1318285437546,32676918488,66684,68214
10/23/2024,1331426858508,31398389967,67351,66684
10/22/2024,1332326858574,40485496092,67395,67351
10/21/2024,1362381684460,17253863433,68963,67395
10/20/2024,1351942347611,14110889435,68389,68963
10/19/2024,1353541799303,39984956633,68466,68389
10/18/2024,1330387728624,34512072358,67328,68466
10/17/2024,1337304399195,40640495380,67648,67328
10/16/2024,1323774576162,51797932877,66962,67648
10/15/2024,1306085613998,46553796134,66050,66962
10/14/2024,1241241970951,16784552979,62830,66050
10/13/2024,1249002272717,17665963646,63208,62830
10/12/2024,1233357176570,32008659336,62392,63208
10/11/2024,1189691671375,29481971886,60195,62392
10/10/2024,1197736450280,28530748118,60597,60195
10/9/2024,1229717180592,28626429277,62185,60597
10/8/2024,1231091696620,33878876147,62287,62185
10/7/2024,1241834324868,14592422861,62812,62287
10/6/2024,1226761949791,11095453163,62092,62812
10/5/2024,1226663492771,30349059839,62103,62092
10/4/2024,1200491237696,37711138442,60728,62103
10/3/2024,1198652098493,41870731292,60656,60728
10/2/2024,1202927109018,54251488434,60873,60656
10/1/2024,1249577803402,35124446789,63243,60873
9/30/2024,1297825615076,12948707839,65664,63243
9/29/2024,1303217687718,15342911003,65934,65664
9/28/2024,1299708226182,32664917504,65791,65934
9/27/2024,1287151352433,37995568904,65131,65791
9/26/2024,1245721254991,26087643766,63152,65131
9/25/2024,1271183646357,31490984594,64334,63152
9/24/2024,1251095079247,23998847799,63327,64334
9/23/2024,1255899286380,20349365413,63583,63327
9/22/2024,1254104417392,12938083116,63403,63583
9/21/2024,1246475981189,35587830477,63128,63403
9/20/2024,1243871590271,41959080716,62967,63128
9/19/2024,1211837853549,40445339415,61440,62967
9/18/2024,1191818552364,34191170118,60317,61440
9/17/2024,1150499194410,32196570894,58211,60317
9/16/2024,1169677517083,17289597543,59215,58211
9/15/2024,1185255944125,15800120841,60003,59215
9/14/2024,1197832322916,31919740724,60621,60003
9/13/2024,1148469900814,34177859933,58107,60621
9/12/2024,1134292554479,37765652735,57382,58107
9/11/2024,1137928777839,29676093302,57624,57382
